latitude,longitude,wind_speed_m_s,air_density_kg_m3,temperature_c,humidity_pct,pressure_hpa,elevation_m,wind_generation_mw
23.14801,68.8785,4.99,1.0066,7.54,90.8,811.02,1871.0,0.1848
10.15571,82.22077,3.44,1.1386,20.22,43.63,958.87,474.75,0.0103
24.8357,83.66407,3.29,1.0762,30.23,77.03,937.18,672.61,0.0078
17.64882,79.06503,8.09,1.0055,20.5,66.53,847.58,1458.55,0.7886
13.79499,74.35314,1.74,1.0884,23.63,84.62,927.24,736.91,0.0172
26.91642,83.89708,4.05,1.2143,14.85,64.03,1003.84,133.53,0.1107
20.87513,71.33943,5.03,1.1605,18.99,74.26,973.18,273.76,0.1385
9.78149,83.86684,4.7,1.0185,16.9,83.43,847.99,1589.85,0.1678
23.99785,70.88797,4.98,1.0406,20.74,82.55,877.86,1185.5,0.1535
9.54622,68.60973,9.68,1.0352,21.02,81.24,874.12,1217.34,1.4074
16.45253,70.7631,2.34,1.135,19.35,71.6,952.94,577.07,0.0
27.31411,78.37557,1.43,1.0714,21.48,46.27,906.15,999.88,0.0
14.96272,71.54983,1.26,1.0495,31.85,54.62,918.79,890.48,0.0344
23.2276,77.68665,4.07,1.0188,26.04,79.64,874.92,1277.58,0.0636
24.40107,79.61246,3.8,1.1674,21.66,84.23,987.94,231.05,0.0563
9.25244,76.58789,2.29,1.0929,25.9,61.76,938.2,677.99,0.0254
16.8339,86.51797,1.42,1.0458,23.15,51.2,889.53,1161.27,0.0
20.87916,82.73049,6.99,0.9699,15.43,77.42,803.47,1990.23,0.4978
26.86041,82.52907,2.98,1.1321,26.29,83.57,973.13,360.58,0.0426
26.28682,84.37309,3.93,1.1232,17.77,67.87,937.97,558.17,0.0
20.96022,73.89296,0.59,1.0936,17.94,74.52,913.83,951.02,0.0
13.22432,79.00084,4.97,1.0913,24.93,59.64,933.79,605.63,0.1908
18.40112,77.49287,3.71,0.9598,18.38,77.54,803.21,1901.41,0.0378
11.62612,68.38627,4.97,0.997,17.3,77.11,831.21,1648.33,0.201
15.08658,80.08205,3.03,1.0087,22.98,65.98,857.39,1455.8,0.0
11.71084,69.50049,5.97,1.1027,16.73,68.14,917.53,861.16,0.2984
27.84136,78.39778,1.46,0.9941,27.47,79.24,857.83,1328.62,0.0
22.55167,77.03212,3.95,1.0135,21.67,78.63,857.71,1388.5,0.0491
13.30301,87.51495,2.05,1.0238,23.88,52.6,872.9,1243.39,0.0152
10.55785,87.50763,6.26,1.1049,23.33,78.74,940.27,659.98,0.3663
25.46328,87.66321,3.8,0.992,22.67,68.13,842.33,1549.78,0.0616
27.4854,68.24353,2.29,1.1191,30.43,71.81,975.17,352.2,0.0
11.04184,78.16427,1.84,1.0731,30.12,58.29,934.2,654.5,0.0
20.35241,78.12441,1.92,0.9757,15.88,67.84,809.54,1828.55,0.0
8.6626,78.10419,1.33,0.9661,15.62,80.17,800.85,1949.11,0.0307
17.65955,68.71975,4.43,1.0777,22.87,85.26,915.7,836.93,0.0956
16.41957,83.26359,3.19,0.9926,16.46,86.94,825.16,1727.72,0.0
23.3771,85.23846,3.85,0.9701,19.78,81.0,815.75,1917.5,0.0564
20.86499,84.71579,5.92,1.0141,19.82,86.34,852.86,1456.17,0.315
8.95954,86.32516,3.16,0.9384,23.85,68.61,800.0,1935.41,0.002
19.55838,85.9013,5.85,1.0344,20.1,54.58,870.75,1292.66,0.2985
11.88401,85.20916,5.83,1.0722,20.97,55.71,905.17,1009.82,0.2214
8.82711,80.32223,5.87,1.1178,14.91,75.73,924.28,746.92,0.2843
15.81944,70.96183,2.75,1.0494,17.82,60.6,876.52,1208.08,0.0
18.54745,71.87714,5.52,1.112,30.22,73.51,968.35,357.6,0.2774
16.48127,85.85286,4.97,1.1146,30.72,65.14,972.18,377.03,0.126
14.1133,70.36114,4.42,1.0466,19.96,85.67,880.55,1217.81,0.089
14.25106,84.65374,4.7,1.0715,27.35,56.79,924.26,794.66,0.1418
17.16446,78.65323,5.75,1.1657,24.86,69.41,997.14,130.09,0.2865
24.06064,76.75625,7.67,1.1775,24.03,74.99,1004.44,34.12,0.7005
24.66849,86.65437,8.65,1.134,25.74,61.61,972.98,350.56,0.975
9.55593,78.19797,4.09,0.9895,16.93,71.06,823.91,1734.66,0.0778
12.10942,80.1924,7.91,1.2048,14.05,69.49,993.21,227.36,0.8058
24.09317,80.0481,2.89,1.0982,15.83,66.02,910.95,927.01,0.0
9.80228,86.89457,1.89,1.0169,19.35,69.66,853.79,1458.7,0.0036
8.87838,80.80405,3.72,1.054,19.21,81.4,884.56,1129.85,0.0277
11.71715,77.02551,3.76,1.0737,18.86,83.39,900.02,1044.02,0.024
10.50572,86.68662,5.76,1.0953,20.49,75.41,923.22,866.54,0.2614
19.58067,84.20065,5.42,1.0641,23.9,78.3,907.31,952.74,0.2441
17.15061,74.10624,3.63,0.9635,16.54,58.14,801.24,1962.59,0.026
22.49665,72.30376,6.79,1.0427,14.99,63.31,862.44,1441.49,0.4291
16.47984,71.31789,2.75,0.974,23.09,53.85,828.27,1670.12,0.0
18.53312,85.60092,2.8,1.0566,21.29,74.87,893.08,1097.67,0.0
16.23165,86.16875,4.51,1.1511,24.32,75.79,982.94,277.83,0.1228
22.54579,80.53131,4.15,1.1366,34.28,75.71,1003.05,107.2,0.07
12.33969,87.42422,5.79,1.0451,25.18,65.6,895.01,1030.55,0.2552
18.42017,79.71394,1.91,0.9701,23.69,75.12,826.6,1629.72,0.0
9.26733,76.83518,2.16,1.1081,14.39,64.33,914.62,852.9,0.0513
21.9885,69.8025,4.11,1.1716,25.07,71.2,1002.94,120.84,0.0474
26.68355,82.89815,4.16,1.1386,21.97,65.18,964.57,444.24,0.0794
12.15566,74.14034,3.91,1.0387,12.91,79.55,852.91,1443.84,0.0567
13.47519,84.41134,2.38,1.1499,21.6,94.09,972.92,314.52,0.0
26.38242,79.40859,2.5,1.0786,22.5,68.83,915.39,873.35,0.0
10.98442,69.35463,4.87,0.9924,23.26,74.87,844.35,1555.08,0.1253
17.6697,69.07584,2.97,1.1076,35.87,45.59,982.53,231.2,0.0
8.41609,77.75696,4.5,1.055,24.39,81.25,901.04,983.2,0.0895
26.14014,79.83398,5.27,1.0495,27.12,73.03,904.58,947.49,0.174
8.77213,87.45529,5.46,1.09,13.66,76.97,897.42,1060.58,0.2258
14.09359,83.13842,5.16,1.0528,21.48,73.41,890.41,1141.18,0.1887
19.42999,84.82427,2.4,0.987,18.59,64.13,826.6,1689.84,0.0
13.97396,84.86106,5.37,0.9683,19.3,64.34,812.85,1888.69,0.2177
23.65636,86.84812,2.56,1.1329,21.58,55.35,958.45,500.8,0.0
12.08035,69.26826,6.86,1.0296,18.76,69.32,862.76,1358.55,0.4442
20.17345,84.94222,8.2,1.0616,23.67,63.46,904.49,919.45,0.8263
16.56257,69.87655,3.42,1.1287,23.14,60.74,959.95,486.04,0.0
8.28625,77.65296,4.64,1.0438,26.39,58.49,897.52,1005.72,0.1417
10.76645,79.34968,2.96,1.1336,31.55,66.37,991.52,183.35,0.0
16.76132,73.84817,7.21,1.0757,23.11,54.74,914.77,886.07,0.5548
11.43072,73.07192,2.15,1.0822,19.53,66.76,909.16,881.91,0.038
9.80534,86.38589,6.03,1.0663,24.41,66.08,910.8,873.35,0.3439
25.4848,75.64739,2.89,1.1484,24.31,71.55,980.61,236.31,0.0
16.82305,82.95801,4.46,1.0507,32.02,56.67,920.39,829.08,0.1221
21.54739,83.01926,4.16,0.9968,12.79,82.56,818.11,1861.51,0.0962
13.35736,76.806,2.88,1.1684,28.53,70.96,1011.77,27.66,0.0219
26.8067,87.43995,1.97,0.9605,18.69,79.29,804.61,1989.53,0.0184
12.86584,71.09448,3.02,1.1041,23.22,70.44,939.28,636.6,0.0204
10.51914,77.97215,3.86,1.0931,22.82,59.75,928.7,742.81,0.0448
11.41235,70.53935,6.31,0.9748,15.53,58.5,807.74,1904.28,0.3769
16.31835,72.32461,3.88,1.0115,17.92,65.14,845.15,1557.39,0.0368
24.29185,77.2204,6.88,0.9635,21.34,56.24,814.44,1821.82,0.4921
25.21012,80.00046,4.38,1.0366,25.47,61.19,888.57,1095.33,0.0776
10.37323,73.67669,3.63,1.0852,26.99,78.32,935.0,696.86,0.056
27.74173,68.50918,0.5,1.1254,30.39,74.85,980.58,251.24,0.0
8.32518,70.47044,2.16,1.0211,19.25,57.36,857.02,1482.21,0.0
25.77231,72.45639,9.86,1.0034,21.29,51.99,848.06,1523.22,1.4481
15.62087,70.43405,5.13,1.0728,28.84,61.93,929.96,674.84,0.1723
18.06954,76.41948,0.5,1.1343,19.96,46.52,954.36,401.88,0.0237
20.19074,80.3457,3.51,0.9669,21.17,66.31,816.85,1824.72,0.0025
23.65333,70.84177,6.18,1.1186,20.91,86.56,944.19,616.81,0.2891
22.17864,79.95498,3.08,1.0893,20.53,72.22,918.28,825.63,0.0
11.98503,71.46857,2.86,1.0505,20.45,67.34,885.35,1145.0,0.0
16.55025,86.3894,3.62,1.1238,21.05,75.57,949.04,576.37,0.0527
23.79237,83.09838,5.88,1.1388,25.12,69.66,975.0,367.93,0.2966
20.49642,85.34957,5.59,1.0621,13.73,68.15,874.62,1257.1,0.2364
16.60058,85.79348,1.67,0.9846,19.62,75.51,827.46,1702.34,0.0433
23.77412,77.98343,4.56,1.1698,23.07,57.87,994.69,162.82,0.1332
23.66809,75.18493,4.26,1.0508,27.57,59.26,907.08,942.67,0.0262
22.19316,84.63394,2.72,1.1389,24.28,66.3,972.33,350.9,0.0
10.3332,77.39201,3.51,1.1097,29.74,86.01,964.87,457.39,0.0
17.25116,82.67617,4.74,1.0115,11.38,75.51,826.1,1678.61,0.1349
14.40215,68.28343,6.02,1.1401,34.54,68.5,1006.94,54.05,0.3121
24.06699,68.82555,2.57,1.0452,19.26,65.53,877.33,1239.81,0.022
15.02806,72.97497,4.57,1.0647,20.35,65.95,897.02,1063.94,0.0803
27.67044,77.65614,3.32,1.0749,17.6,64.03,897.09,1067.83,0.0217
19.50713,76.32518,7.24,1.1364,30.53,63.28,990.57,140.79,0.5592
15.94626,77.0874,3.88,1.1227,34.24,66.4,990.64,156.69,0.0693
15.54522,74.77118,3.21,0.9501,21.96,73.94,804.86,1988.56,0.0086
26.22577,86.70326,6.64,1.007,18.66,82.1,843.48,1527.85,0.4279
23.57568,71.03882,4.16,1.1136,22.85,78.76,946.22,500.72,0.061
21.64835,81.27225,2.29,1.1027,24.63,71.9,942.58,627.82,0.0077
18.14988,83.37977,0.95,0.9847,16.77,69.06,819.51,1760.14,0.0197
18.72847,68.98615,4.15,1.1439,24.08,65.86,975.95,331.54,0.0712
20.80221,82.537,0.5,1.0584,17.75,75.38,883.81,1201.12,0.0
16.36015,87.84825,2.09,1.1461,21.66,65.95,969.89,384.1,0.0002
19.57564,86.72407,2.17,0.9808,16.42,67.58,815.23,1834.03,0.0
21.28137,87.73269,5.45,1.1854,21.7,69.09,1003.28,121.76,0.2471
23.93258,79.65157,4.57,1.1398,32.85,62.73,1001.22,102.02,0.1236
12.56673,81.55751,1.15,1.0252,16.16,74.26,851.38,1527.57,0.0116
18.73186,69.3676,4.85,1.1297,24.8,77.92,966.18,392.01,0.1796
13.81892,71.02189,4.32,0.9754,12.58,67.0,800.0,1983.07,0.0908
25.79594,87.35712,1.26,1.0466,21.38,86.21,884.83,1116.97,0.0
18.91638,86.44815,4.36,1.0376,17.58,75.04,865.87,1224.21,0.1023
21.01508,78.49904,4.99,1.0485,22.91,72.49,891.04,1085.9,0.1994
27.45562,84.42534,5.77,1.1876,20.87,70.35,1002.31,63.77,0.2556
17.27501,86.81141,0.66,0.9792,17.63,75.24,817.33,1843.62,0.0236
11.56721,74.11705,5.39,1.1346,36.63,57.94,1008.94,65.61,0.203
9.47605,78.91498,0.88,1.102,23.4,66.04,938.12,643.36,0.0
22.96492,78.54132,4.13,0.9872,19.35,83.41,828.89,1684.37,0.0477
18.46846,68.66373,2.62,1.0632,27.97,76.72,918.97,798.49,0.0
17.03467,87.49047,6.45,0.9576,17.88,57.78,800.0,1979.7,0.4028
22.3973,76.04928,9.97,1.0148,9.88,67.17,824.45,1717.92,1.5568
15.26852,68.67703,6.12,0.9601,21.55,67.89,812.16,1849.27,0.3001
12.65691,68.8634,2.74,1.1326,24.15,75.86,966.55,448.26,0.0235
25.55128,84.49462,4.84,0.9684,25.2,48.29,829.39,1640.85,0.1483
18.68989,78.09677,1.23,1.0573,19.41,80.06,887.87,1141.89,0.0059
18.75251,85.86664,4.94,1.0565,18.05,86.04,883.1,1126.88,0.1253
24.87467,83.55286,0.5,1.0123,18.17,77.19,846.51,1531.77,0.088
13.3237,68.7643,3.19,1.001,12.44,67.5,820.58,1838.43,0.0333
10.45177,81.43827,5.75,1.1265,26.85,68.3,970.12,299.43,0.2984
12.19651,79.81269,9.77,0.9614,21.16,81.93,812.2,1928.57,1.4042
22.25396,83.47799,1.89,0.9792,18.73,77.43,820.41,1761.58,0.0
19.18363,70.85365,3.68,1.0488,20.58,91.18,884.29,1136.72,0.0628
15.7943,82.23959,5.5,0.9638,17.91,76.79,805.22,1939.0,0.2162
19.95933,85.17929,2.55,1.0885,23.73,70.72,927.65,765.35,0.0
20.77629,73.1531,7.05,1.0998,22.51,67.8,933.37,649.46,0.5327
21.90545,77.33497,10.15,1.0672,24.21,63.76,910.89,894.39,1.627
13.80651,75.61917,3.98,1.0394,11.65,68.37,849.69,1529.19,0.0482
8.84488,73.86554,8.86,1.1239,27.99,68.97,971.57,357.8,1.1181
19.19896,80.28586,6.32,1.0593,29.04,67.31,918.91,794.25,0.3595
10.58054,81.05474,4.52,1.1586,27.88,75.72,1001.15,79.54,0.1029
13.63396,69.7815,6.76,1.1124,30.83,38.62,970.68,414.59,0.4261
22.8665,76.49617,2.49,1.0664,16.12,87.63,885.51,1110.0,0.0355
27.392,69.51965,3.66,0.989,20.87,58.53,834.67,1625.16,0.0
14.7498,69.76888,5.73,1.1228,21.43,62.73,949.46,560.14,0.2953
8.42666,75.02057,1.88,1.1202,27.96,59.79,968.24,361.48,0.0
25.92907,77.14,2.25,1.0963,25.35,49.93,939.33,604.83,0.0152
21.82673,74.07406,5.92,0.9997,17.55,71.22,834.22,1643.98,0.3116
20.42901,87.41765,1.65,0.9677,18.64,61.23,810.56,1884.48,0.0448
24.77329,79.07728,3.95,1.0901,26.39,48.42,937.26,625.96,0.0103
21.25002,77.38142,4.35,1.1222,25.19,51.26,961.03,413.33,0.0568
11.64593,74.64457,3.95,1.0463,16.21,78.44,869.11,1360.02,0.0333
26.55056,84.42924,4.86,1.1232,33.16,66.47,987.59,195.99,0.1032
11.00373,74.02461,2.45,1.1093,27.12,66.44,956.08,499.3,0.0
13.34328,79.36539,5.88,0.9919,17.83,74.49,828.51,1610.19,0.3238
10.07085,82.78888,4.5,0.9623,21.52,56.58,813.93,1791.97,0.1116
10.01185,83.86276,2.99,1.0071,24.7,75.26,861.09,1397.78,0.0
16.71553,70.15409,5.3,1.1733,24.02,64.59,1000.85,146.96,0.2276
24.07124,83.46604,8.18,1.0629,15.54,75.49,880.81,1229.52,0.8035
21.18743,81.45331,4.87,0.9896,14.62,75.66,817.47,1820.66,0.1168
25.02273,83.02147,4.27,1.0414,20.85,71.02,878.84,1248.55,0.0603
11.01076,74.80456,6.93,1.0788,30.34,70.2,939.8,599.95,0.4934
15.91184,71.7955,1.57,1.1131,25.74,61.86,954.98,526.65,0.0
19.50492,74.67033,6.07,1.0117,22.71,59.2,859.21,1397.45,0.3056
12.73116,78.81094,3.53,1.0604,11.55,77.79,866.57,1305.45,0.0148
25.24886,75.52277,3.86,1.0196,11.1,81.02,831.97,1703.82,0.0457
22.26449,68.12974,4.67,1.1429,25.8,84.58,980.77,225.02,0.0904
8.76102,72.67533,4.8,1.0605,21.5,81.55,896.96,1018.26,0.1479
11.85207,76.50386,5.75,1.01,15.3,86.55,836.25,1644.61,0.2704
21.67188,83.69514,3.33,1.1738,25.83,59.93,1007.34,42.07,0.0284
26.807,81.68483,6.38,1.1586,24.3,71.53,989.28,141.02,0.3865
8.32703,82.97011,5.08,1.0134,13.65,71.41,834.29,1635.77,0.1374
17.77246,80.58586,8.99,1.0448,25.34,67.52,895.18,1031.21,1.0687
24.92652,72.37602,6.66,0.9851,15.5,73.44,816.22,1844.97,0.4239
20.21593,74.41989,2.31,1.0878,24.22,72.52,928.57,746.34,0.0
15.91144,77.16912,1.91,1.0031,22.9,59.12,852.48,1362.26,0.0126
27.82205,70.69968,1.15,1.1199,22.22,68.68,949.57,524.38,0.0
11.97668,76.89109,4.41,1.0946,27.81,77.62,945.6,500.69,0.0555
20.68869,78.33972,4.18,1.1031,24.91,79.1,943.79,640.45,0.0308
16.00517,80.98584,4.83,1.1366,20.13,81.41,956.87,489.51,0.1484
8.02012,75.04178,6.85,1.0247,16.86,83.01,853.01,1400.43,0.4643
12.96237,85.29683,4.96,1.025,15.22,68.01,848.46,1497.14,0.1645
13.41427,77.67177,3.79,1.1126,22.32,66.41,943.66,559.8,0.0696
10.34737,82.51222,2.58,1.0692,27.81,71.53,923.72,752.5,0.0194
13.21973,72.13282,7.49,1.1107,26.62,80.74,955.76,507.49,0.6163
11.55636,87.23216,7.73,1.071,24.51,80.35,915.14,929.76,0.7049
27.31687,71.42924,4.92,0.9652,23.41,91.35,821.65,1718.76,0.1223
20.29091,77.39897,1.82,0.9351,24.89,67.34,800.0,1997.84,0.0
15.47199,74.65935,3.89,1.1404,24.89,58.64,975.65,333.21,0.0324
10.82406,84.08248,1.1,1.1522,30.61,62.71,1004.61,29.06,0.0213
12.23762,72.62582,0.6,1.0944,25.74,81.01,938.96,697.76,0.0
18.82233,75.66024,6.04,1.0977,21.57,59.45,928.66,762.27,0.3211
11.52709,85.61415,2.29,0.9775,14.44,68.02,806.92,1881.67,0.0
21.16606,87.25502,10.54,1.161,28.72,68.39,1006.01,100.48,1.9256
24.28377,82.07197,3.53,1.0342,19.1,84.72,867.57,1277.17,0.0278
23.77873,77.69751,3.54,1.0972,32.69,65.45,963.25,426.74,0.0308
18.19642,69.51284,2.88,1.0166,20.2,71.33,855.99,1352.49,0.0
12.14048,81.70107,8.75,0.9617,23.36,75.75,818.55,1749.51,0.9893
14.80474,79.64722,4.9,1.0956,28.56,78.28,948.85,603.83,0.1618
8.60177,87.22743,2.71,1.0207,23.3,70.7,868.54,1304.02,0.0
23.10574,73.29301,1.6,0.972,27.37,55.28,838.45,1475.16,0.002
14.5603,77.50048,4.49,0.9614,22.0,76.2,814.54,1879.85,0.0454
8.33697,81.60589,2.89,1.0268,20.29,72.81,864.93,1320.4,0.0
22.16504,76.49374,1.67,1.027,22.96,64.4,872.94,1231.86,0.0
20.39675,81.42747,2.91,1.1326,24.01,72.91,966.12,477.76,0.0
27.7347,77.03837,5.51,1.109,20.63,57.78,935.22,705.37,0.204
23.85223,78.61643,6.9,1.0053,22.96,73.3,854.51,1492.75,0.4888
8.37325,73.8485,1.19,1.1004,34.75,47.7,972.58,380.72,0.0868
24.30864,81.64217,1.72,1.0919,26.62,70.84,939.52,572.32,0.0
14.61649,76.02983,5.86,1.16,23.99,67.52,989.43,202.59,0.2392
23.6865,77.6047,3.16,1.0322,17.69,86.68,861.73,1343.03,0.0437
24.19553,72.63397,0.76,1.0204,25.97,70.7,876.14,1207.95,0.0139
21.7019,86.02792,2.52,1.1135,18.29,79.23,931.57,724.78,0.0223
10.73229,73.20383,2.06,1.1228,18.44,80.67,939.79,664.75,0.0
15.92668,85.54393,2.65,1.1095,26.91,53.94,955.63,539.93,0.0259
17.28766,82.37518,4.92,1.0901,24.91,81.14,932.64,673.14,0.1108
20.49129,70.7346,1.94,1.1338,20.8,79.1,956.67,447.44,0.0507
22.45481,82.33375,5.98,1.0367,15.29,65.87,858.33,1413.93,0.3519
27.76602,77.69572,6.12,0.9746,15.55,80.19,807.66,1935.18,0.3244
18.86835,71.39346,4.27,1.0589,23.26,65.59,900.95,1075.4,0.087
13.75063,86.54702,2.55,1.0947,18.34,72.77,915.96,847.35,0.0
11.75841,73.87238,3.88,0.9887,16.62,60.69,822.39,1782.82,0.0442
9.54328,72.78755,0.79,0.9727,22.39,69.76,825.19,1753.59,0.0098
27.44586,86.52059,4.37,1.0981,27.4,63.57,947.38,620.27,0.1422
16.89961,74.50373,4.49,1.0981,11.68,64.03,897.82,1015.0,0.1061
9.01629,79.46503,2.42,1.0063,20.87,78.22,849.29,1517.93,0.0
8.04184,82.49967,5.98,1.0813,20.14,63.42,910.36,933.1,0.3198
17.85818,86.40315,2.98,1.0147,19.3,85.82,851.83,1452.82,0.0121
12.40604,78.60547,1.62,1.1321,25.71,66.37,971.18,326.18,0.0
21.9974,70.3738,4.53,1.1363,25.89,68.02,975.39,333.86,0.0758
25.46456,76.7557,3.08,1.1171,28.46,69.03,967.2,395.61,0.0102
14.54878,84.47672,3.97,1.0342,25.4,53.79,886.31,1069.87,0.0621
11.10457,73.50557,2.53,0.9407,23.1,63.9,800.0,1968.81,0.0427
18.49848,72.9614,2.98,0.9882,17.47,62.53,824.4,1770.0,0.0306
25.52202,76.16153,6.29,1.0081,16.15,70.69,837.18,1658.06,0.3266
21.67435,69.18121,2.12,1.0091,15.77,72.21,836.92,1610.4,0.0347
24.55735,83.65418,2.51,0.99,20.15,61.25,833.47,1679.61,0.0171
11.26512,83.14718,5.79,1.1488,23.57,55.09,978.48,315.54,0.3034
12.42904,70.24654,4.65,1.1165,23.73,65.67,951.48,496.13,0.1511
16.48096,86.57793,1.1,1.0601,17.52,72.4,884.51,1116.54,0.0146
27.32759,83.88001,3.75,1.0777,22.39,74.03,914.29,831.39,0.0432
23.2997,81.39896,3.47,1.0876,23.39,62.64,925.74,787.14,0.0308
15.50692,78.71953,5.92,1.1695,26.91,67.08,1007.36,61.88,0.315
14.36075,84.19634,3.27,1.1021,29.42,71.43,957.19,488.05,0.033
13.88434,84.53919,3.7,1.1096,28.99,57.19,962.36,456.95,0.0184
25.80125,80.75232,3.64,1.1574,22.69,61.08,982.9,248.86,0.0765
26.24834,84.45147,1.57,1.1443,28.75,65.75,991.68,253.97,0.0
21.05718,74.2515,4.23,1.0772,18.3,80.65,901.21,974.35,0.0659
21.05672,71.61854,5.89,1.0612,22.4,65.37,900.29,1009.41,0.258
27.10927,77.78248,5.49,0.9977,16.34,75.54,829.11,1651.74,0.2844
15.84825,77.95259,5.64,1.169,22.15,53.3,990.88,220.08,0.2574
22.53098,87.01863,3.42,1.0251,11.95,78.19,838.89,1534.85,0.0069
21.97139,69.20613,6.46,1.1394,19.97,76.69,958.74,466.35,0.3715
14.55186,74.11087,1.16,1.0095,21.48,79.99,853.78,1457.21,0.0279
19.40386,73.20777,2.24,1.1043,21.17,70.94,933.01,704.97,0.0037
20.11332,68.9163,3.25,1.0131,16.15,91.61,841.3,1541.01,0.0
17.67374,84.21384,2.44,0.9779,12.27,87.09,801.21,1957.48,0.0
19.5005,77.51563,7.32,1.0531,22.31,54.79,893.12,997.53,0.5853
16.22224,68.33126,4.34,1.0924,18.83,78.57,915.56,845.1,0.1129
12.57203,72.66962,3.64,0.9923,14.81,71.87,820.25,1814.4,0.0604
14.09597,83.65268,5.24,1.1146,26.15,69.67,957.6,424.73,0.1728
11.00898,76.76369,8.91,0.991,16.68,66.13,824.51,1734.15,1.1422
24.33141,77.40073,9.21,1.1584,26.42,58.58,996.17,170.77,1.2807
9.68188,85.88184,1.23,1.1091,17.2,64.08,924.38,765.76,0.025
