latitude,longitude,ghi,dni,dhi,gti,temperature_c,humidity_pct,cloud_cover_pct,pressure_hpa,wind_speed_m_s,elevation_m,solar_generation_mw
26.50981,75.38901,503.16,388.43,111.09,521.78,22.59,71.36,34.12,834.0,0.24,1656.4,2.0201
14.77124,76.34369,623.32,523.33,117.21,674.58,21.04,75.01,27.01,903.28,2.47,902.88,2.6655
19.88115,75.92351,296.27,153.36,66.97,307.63,23.28,79.18,26.53,885.26,3.18,1134.26,1.2279
25.75036,76.21977,425.75,193.59,176.16,449.47,21.4,53.68,58.5,939.9,2.56,580.18,1.8594
16.02682,83.91518,400.62,376.33,42.63,424.92,27.63,63.79,12.95,1007.28,5.05,34.44,1.6496
23.96594,79.25442,474.21,269.18,172.38,509.1,28.11,64.46,38.05,998.97,1.39,132.52,1.9934
25.80397,82.52778,479.4,328.9,150.33,472.24,29.91,81.81,39.17,875.53,2.81,1206.67,1.7812
19.34962,68.61703,525.34,404.8,146.16,622.95,30.38,75.52,38.52,1006.54,4.01,75.97,2.3611
19.41046,68.71739,330.3,257.04,77.39,321.83,20.82,71.04,14.75,957.24,3.55,486.68,1.3074
21.55548,82.74198,329.88,241.32,90.66,324.47,22.65,78.37,45.32,825.2,4.94,1725.99,1.265
13.80669,83.41299,157.06,148.92,28.13,141.86,25.15,73.74,27.99,828.13,1.34,1765.39,0.5474
17.57518,77.41251,631.46,513.25,152.04,643.77,33.4,53.45,19.66,927.3,1.69,696.18,2.5022
25.51938,72.66138,396.79,211.03,182.44,437.81,25.86,58.41,60.96,927.76,0.47,783.01,1.6973
19.08329,73.229,680.26,550.26,189.36,658.86,32.31,73.93,43.59,989.43,2.51,142.7,2.5099
11.22705,73.74785,519.32,366.15,104.55,551.56,13.79,67.56,21.11,831.12,5.07,1652.75,2.2946
21.14863,85.91476,334.68,233.31,60.79,346.95,27.07,72.0,20.84,843.26,1.1,1561.13,1.3009
26.26943,77.53976,271.96,219.0,37.42,281.1,27.47,58.31,27.77,902.28,1.87,961.97,1.074
27.53704,79.26597,975.67,800.51,123.54,949.03,33.07,66.94,9.67,931.58,1.59,781.91,3.6428
17.90317,73.01424,281.45,274.52,98.49,240.36,33.08,49.74,47.44,880.31,2.82,1159.01,0.9425
17.15789,70.80168,646.25,466.55,166.16,686.61,23.12,71.83,15.44,958.5,1.52,479.88,2.7313
9.76216,81.93888,493.68,371.3,107.26,515.9,36.38,64.58,15.2,1004.06,4.72,131.28,1.9578
27.87903,75.44173,937.35,713.49,176.05,1074.72,36.3,76.55,26.82,1016.96,0.67,11.64,3.9917
27.42715,82.64652,766.81,623.5,185.4,797.37,28.65,71.05,32.54,906.93,2.37,913.9,3.1007
26.3859,72.10756,382.08,255.74,94.84,408.36,22.55,70.64,20.95,948.05,2.27,574.2,1.6466
13.68686,81.37821,706.88,536.86,174.97,788.66,12.76,84.06,13.64,825.26,1.15,1740.83,3.183
19.43844,82.22697,469.52,283.08,135.03,507.63,21.07,83.91,46.81,867.23,0.6,1298.56,1.9549
11.17391,75.71322,46.33,28.64,10.83,49.14,16.95,89.03,18.35,855.89,2.42,1394.78,0.1991
20.55986,71.11433,233.77,211.07,53.84,266.63,30.06,59.48,22.91,1001.3,5.13,113.33,1.0302
27.06741,79.08682,421.37,321.04,97.92,458.52,20.37,81.68,19.98,864.77,1.38,1324.3,1.7903
23.61178,84.99145,529.46,404.85,127.11,553.1,19.76,82.37,19.39,913.92,1.9,901.88,2.2171
21.07699,74.08312,467.08,342.27,114.34,458.14,19.63,78.27,59.02,901.22,2.37,1002.1,1.7565
11.86174,77.2464,112.26,85.08,20.07,97.88,25.12,80.75,13.28,951.99,1.72,504.03,0.3995
17.73597,80.64384,854.89,690.56,139.43,900.85,28.32,58.61,7.39,942.76,1.57,646.76,3.5221
11.23528,84.73223,492.83,272.96,195.11,550.19,28.59,57.83,65.78,922.39,2.25,772.1,2.1286
9.80651,68.20194,1011.62,821.64,197.91,921.62,26.47,79.57,9.14,827.26,1.23,1677.68,3.5926
8.98515,74.26032,519.52,429.87,149.4,574.47,33.96,72.14,39.01,960.47,3.04,494.56,2.2274
27.02684,80.23809,297.95,151.0,115.07,329.0,36.95,45.29,49.54,1007.01,0.77,105.06,1.2425
16.703,76.052,422.7,415.69,76.32,373.23,19.32,81.09,14.27,865.59,0.35,1309.95,1.4648
14.82325,73.55413,583.28,457.83,146.92,573.15,24.03,61.4,42.58,832.99,0.8,1617.79,2.3193
17.17424,69.68892,452.38,284.01,168.22,448.36,22.58,67.46,37.13,939.27,0.66,623.93,1.8493
19.3232,77.08499,690.16,516.5,129.98,750.03,16.79,78.02,12.13,820.0,1.25,1735.39,3.045
23.98743,74.43489,168.82,154.5,24.88,179.26,23.12,70.49,13.13,939.7,0.54,647.86,0.7058
14.66488,69.67694,332.78,248.47,120.69,316.45,19.93,76.18,50.98,859.81,5.12,1355.34,1.3131
24.1402,70.3366,297.38,252.28,73.53,310.0,18.47,74.95,40.94,923.57,1.66,741.22,1.1886
20.32943,83.14518,418.53,305.03,110.11,468.7,28.57,73.08,31.5,978.74,3.05,329.89,1.8346
23.63331,82.83412,744.68,523.41,231.9,775.85,18.62,72.69,51.94,883.91,2.07,1174.56,3.1161
11.22337,80.74444,683.26,594.11,54.66,756.53,19.17,67.27,20.19,866.27,3.13,1266.28,3.0579
8.55297,83.36252,242.08,202.02,84.11,226.44,24.09,54.86,40.4,866.27,4.51,1311.77,0.9365
23.12296,80.16309,746.72,580.5,146.89,767.91,22.46,72.89,21.48,850.43,2.94,1444.86,3.0195
17.18315,76.4887,682.72,501.47,189.05,717.42,26.83,83.25,29.19,975.03,2.04,329.25,2.7431
23.61267,70.30084,639.03,482.81,138.8,612.0,30.13,67.56,36.14,986.9,4.65,179.76,2.3397
20.82496,79.38973,497.35,322.25,204.23,574.71,25.69,74.32,57.57,988.18,1.64,179.25,2.2204
8.84868,87.51058,345.83,293.09,99.32,363.01,13.94,68.24,17.67,841.34,1.61,1646.09,1.4776
23.881,72.42349,419.07,328.8,60.0,397.34,19.6,59.98,9.09,845.71,4.61,1503.71,1.6516
10.35164,79.79966,752.57,535.14,176.45,697.61,16.99,72.94,17.77,893.03,2.46,1071.74,2.8998
20.64282,71.26684,643.58,417.07,167.08,694.78,28.86,71.72,31.21,909.34,0.81,964.06,2.7532
18.20765,78.68272,922.39,702.52,245.41,976.87,29.32,66.29,23.13,845.05,3.15,1540.69,3.7899
9.18488,86.07982,423.29,340.2,119.83,414.77,13.59,84.95,32.79,852.67,3.75,1402.11,1.6694
27.20138,85.1212,245.86,171.79,98.68,270.34,14.99,64.97,66.38,834.94,3.13,1580.46,1.1192
23.91001,81.30481,640.64,470.04,132.87,676.94,21.68,67.12,34.77,827.59,2.23,1763.95,2.7066
16.37906,87.36791,569.48,467.74,135.68,579.08,17.34,55.26,15.66,923.72,1.24,766.5,2.4227
13.4028,68.87749,447.38,310.42,103.81,427.94,13.39,68.13,27.37,821.82,1.61,1769.36,1.7209
24.46135,76.216,302.88,152.34,107.31,270.13,20.75,79.96,52.1,897.23,4.6,1068.37,1.0881
14.89102,85.51498,681.79,412.33,242.05,762.65,30.86,71.0,43.15,977.77,5.34,291.49,2.8852
13.34352,78.95269,629.29,525.18,119.74,598.79,24.37,62.84,24.23,827.75,2.03,1700.35,2.3737
17.60179,81.06973,672.07,522.88,151.86,619.74,32.42,57.7,18.53,996.71,5.68,177.12,2.4153
14.959,71.59889,521.34,351.99,154.24,478.43,18.31,82.34,29.61,853.79,2.74,1455.35,1.8189
23.60531,81.19735,314.55,267.06,41.47,310.4,20.32,59.7,26.26,820.72,2.32,1780.88,1.2519
24.3574,75.35809,658.66,549.13,106.17,621.03,22.21,71.86,33.22,871.34,2.24,1239.21,2.4399
12.50667,69.2817,626.83,493.36,105.87,600.1,27.56,62.66,11.49,955.73,1.86,501.41,2.3225
24.00034,75.42419,784.83,626.21,181.37,948.63,18.16,78.03,23.9,822.0,0.96,1728.19,3.7724
12.2087,85.30121,457.48,358.59,123.17,435.06,32.4,75.59,27.61,991.45,0.52,145.51,1.6309
27.22645,73.94757,609.35,573.22,126.42,583.6,22.42,63.59,18.07,928.83,5.36,721.84,2.3906
8.89207,68.54991,505.77,246.9,215.58,497.73,22.03,65.51,29.19,957.47,2.59,489.24,1.979
20.99845,73.9711,473.88,419.38,135.74,538.13,20.28,67.41,33.93,866.01,2.78,1344.74,2.1892
19.45373,85.20985,649.59,313.84,216.65,603.31,20.98,65.29,57.82,889.94,3.05,1117.15,2.4391
20.33241,82.04727,658.52,632.4,99.33,590.77,24.12,64.58,12.41,820.0,1.99,1788.35,2.3249
14.21342,75.13256,513.69,425.93,109.66,578.68,19.86,69.22,31.69,947.31,2.44,542.61,2.3646
19.56018,84.33583,514.73,438.99,104.08,462.96,32.1,57.33,12.14,886.4,3.68,1100.15,1.7813
16.25183,87.02872,227.52,104.71,109.2,207.92,27.37,73.29,76.89,841.03,1.0,1586.96,0.8017
15.68647,84.0936,863.44,569.71,270.93,854.85,32.12,62.8,44.42,971.24,2.01,376.17,3.2832
17.60871,75.33311,412.8,417.16,60.12,444.84,22.02,64.0,3.02,887.36,4.21,1044.91,1.7868
11.13395,78.66823,398.31,379.6,91.38,378.88,23.51,54.81,24.11,820.0,3.37,1797.29,1.5884
13.71718,78.22475,317.02,234.62,102.3,306.19,23.14,82.58,45.8,914.46,1.6,893.82,1.146
21.15462,82.81542,456.62,401.8,114.86,477.07,26.27,79.49,26.46,945.02,3.17,615.95,1.7932
16.65805,85.95544,87.51,86.88,17.19,91.88,32.45,57.24,33.79,948.98,1.26,536.28,0.3116
26.42473,71.45518,364.08,340.37,38.1,374.4,18.55,89.61,12.56,852.15,3.28,1445.07,1.4288
14.74719,71.04338,715.12,497.48,151.27,663.54,36.49,66.56,20.66,965.81,1.63,400.33,2.4969
14.18426,72.63063,767.74,600.78,199.08,805.29,21.75,69.43,37.64,871.21,2.53,1220.73,3.1758
19.09958,75.61124,354.45,200.14,126.42,346.14,22.59,77.72,32.09,903.42,3.56,929.36,1.2921
23.31947,77.41002,316.61,222.11,87.68,320.68,26.4,84.97,38.62,902.86,3.63,967.29,1.2493
16.24497,69.00638,353.52,268.02,67.7,413.37,19.96,77.43,31.35,825.31,5.46,1709.49,1.6437
21.21516,74.76923,337.64,246.94,149.59,340.1,30.65,74.77,61.37,997.19,1.93,110.75,1.257
11.06463,77.55562,583.99,449.18,122.29,569.82,13.89,76.38,19.25,834.97,1.49,1585.74,2.3434
19.37566,85.86549,585.93,463.82,137.28,546.93,32.31,66.3,19.55,975.99,1.8,331.84,2.1077
21.06373,76.02081,866.3,707.82,138.31,838.52,36.1,50.72,33.49,970.46,2.06,356.09,3.2152
27.21523,72.25586,723.41,579.25,177.27,747.59,24.93,53.66,23.92,907.29,3.46,1012.56,3.0471
27.11995,69.77774,494.57,267.96,189.59,538.02,12.23,85.98,44.24,849.01,2.95,1535.08,2.1334
17.88704,78.08658,491.02,369.28,151.01,597.9,30.32,58.31,29.16,990.83,2.75,201.87,2.335
19.80126,80.77253,878.65,613.43,247.26,1005.46,34.63,61.18,31.32,1002.83,3.51,69.68,3.8256
14.37451,79.66862,827.81,565.65,244.3,874.77,23.42,80.82,27.42,832.0,2.79,1678.68,3.3698
12.83205,68.84025,446.8,313.11,92.5,472.19,19.46,66.98,17.29,916.78,1.07,940.93,1.8752
10.51954,73.07142,264.51,237.66,57.58,265.56,20.91,61.17,31.65,844.34,2.9,1578.11,1.101
27.02859,75.55149,628.8,464.86,164.24,596.78,31.21,66.73,45.38,949.72,5.89,553.55,2.2635
9.8835,82.55913,198.07,156.92,61.91,192.03,25.37,69.1,29.63,940.73,0.58,607.31,0.6911
19.32107,86.61881,441.97,280.59,158.96,473.01,24.22,67.35,50.94,891.7,3.41,1153.35,1.7933
18.75053,74.96241,673.39,529.97,176.4,656.15,28.06,49.52,23.84,989.91,3.55,205.05,2.6731
16.0588,83.86432,257.56,195.91,50.57,266.06,19.98,78.59,19.26,927.76,3.53,770.54,1.1219
8.12506,69.23506,350.4,255.02,91.95,408.24,30.81,73.15,36.04,1011.45,3.3,25.46,1.5395
12.8077,79.36021,408.38,282.61,130.96,362.39,30.03,59.8,39.86,957.81,1.43,511.73,1.4566
16.95511,74.20172,317.53,197.09,122.74,318.97,26.24,63.66,34.65,877.66,2.42,1225.48,1.2032
15.92038,74.52951,400.67,304.77,62.73,373.41,16.55,76.49,17.21,867.88,0.82,1360.66,1.5171
9.97829,72.94912,807.98,543.16,189.09,857.39,25.18,69.55,28.43,988.94,2.82,201.46,3.3802
20.68259,80.05598,999.24,771.64,212.67,920.02,32.55,44.24,12.09,887.99,0.82,1159.76,3.651
19.84726,84.03252,523.57,385.22,108.96,499.51,26.72,64.37,16.82,1002.33,1.56,71.33,1.97
9.54712,80.11874,498.06,457.82,109.85,571.65,16.54,53.43,23.92,833.74,1.95,1727.26,2.3802
13.18373,80.52185,303.83,202.33,84.75,311.28,31.71,64.53,34.51,867.85,3.99,1264.3,1.1865
12.10502,71.43388,614.17,551.98,71.37,619.88,23.85,59.62,13.0,832.07,4.14,1645.13,2.5034
14.83295,72.77393,941.05,726.9,214.0,840.89,18.81,77.9,14.12,834.53,1.88,1660.77,3.322
24.16544,71.1963,612.37,392.11,243.49,552.47,30.02,60.27,38.01,906.97,0.58,922.9,2.1358
9.63227,71.96702,351.19,193.36,74.61,381.44,31.4,58.64,6.67,969.01,0.46,388.77,1.4939
22.50379,83.12576,321.28,236.43,98.56,366.67,30.33,58.24,28.83,982.63,4.34,256.14,1.4405
12.53847,71.71157,1017.77,942.78,81.42,969.91,19.58,52.46,7.67,855.7,2.59,1396.56,4.0375
27.61071,74.75232,496.73,252.08,156.27,466.62,29.17,75.24,42.34,925.57,0.96,754.58,1.7522
16.38496,72.27192,410.12,289.59,100.83,420.15,25.86,64.62,31.71,988.35,5.37,239.13,1.6485
16.27349,87.77646,690.89,553.78,142.3,696.37,28.99,61.65,25.77,929.2,4.18,796.93,2.7541
27.52057,70.27872,290.32,245.18,47.32,271.54,25.14,56.47,35.24,974.92,3.09,288.66,1.0401
9.97526,77.01049,733.61,538.97,210.82,873.03,25.72,82.38,37.11,948.84,3.66,525.03,3.3157
24.1114,82.76037,459.06,466.44,99.49,487.68,20.02,67.43,20.96,911.98,2.28,917.15,1.9477
24.6605,81.05526,628.73,530.28,109.07,605.38,24.16,70.35,4.77,849.64,1.39,1486.09,2.4406
18.75524,73.65219,462.41,339.43,96.91,458.94,22.68,60.19,16.74,885.74,2.96,1192.42,1.9155
12.19244,81.17849,506.36,355.41,189.87,570.38,21.9,55.57,52.06,930.94,2.32,743.32,2.2974
11.8491,83.7136,487.07,315.08,145.54,522.08,16.47,64.45,31.77,857.07,2.79,1436.15,2.2078
18.3303,68.15236,769.56,677.48,98.49,868.36,20.28,77.37,10.29,836.53,3.42,1611.14,3.464
27.27442,81.12958,558.6,444.74,167.05,568.17,25.36,70.59,29.65,929.07,1.38,688.02,2.2245
25.98766,87.07381,611.89,442.62,148.6,642.1,23.32,68.16,36.18,851.71,4.36,1480.59,2.5854
8.63406,76.90446,586.76,483.96,100.42,517.72,20.38,65.62,17.88,918.36,4.38,775.45,2.0748
17.04399,81.15416,574.81,457.91,116.92,517.56,16.46,66.06,25.14,834.87,4.17,1617.5,2.102
20.53445,82.17777,429.84,376.38,98.51,437.13,16.04,72.94,4.56,820.0,1.54,1793.97,1.8271
15.65346,87.08156,611.44,533.04,113.55,619.6,24.49,53.49,11.45,876.65,4.53,1256.93,2.5113
10.76602,82.79561,545.93,497.78,52.55,551.38,26.38,50.79,12.91,984.7,1.59,229.64,2.2381
17.40697,84.21765,658.28,466.3,225.66,795.09,28.23,77.91,39.55,971.81,1.91,353.14,3.0217
10.57591,78.79567,765.15,687.34,119.21,736.49,22.45,79.02,9.28,998.93,3.08,109.9,2.8807
23.59946,85.70655,680.84,577.96,112.87,732.53,30.58,60.08,13.7,918.86,3.97,794.66,2.922
12.30191,78.78903,499.03,384.22,63.33,549.36,24.63,66.6,7.81,975.18,2.21,338.2,2.1475
23.36907,85.8776,669.82,459.93,185.09,765.38,32.96,52.7,35.2,954.04,2.8,505.58,2.9856
10.21025,74.44296,583.94,505.39,106.56,633.9,18.35,65.91,25.62,912.46,4.44,899.6,2.5945
27.65737,79.05371,753.82,461.56,270.11,705.48,16.56,78.6,48.63,839.52,2.9,1575.98,2.799
19.38764,75.4134,331.61,207.66,112.22,309.55,25.92,72.52,43.95,850.37,1.42,1467.94,1.1286
13.57076,73.30312,402.73,230.13,152.73,389.0,21.89,61.09,46.77,868.68,1.04,1301.96,1.5856
17.2052,79.18892,639.89,528.63,147.65,677.76,36.42,53.01,10.4,997.28,1.09,137.44,2.6221
22.15575,81.19725,436.33,395.12,79.28,453.78,24.32,61.06,28.54,921.74,3.3,758.8,1.8558
15.40264,70.80239,285.49,251.51,70.33,259.28,17.12,63.66,25.82,855.09,1.27,1461.15,1.0672
23.41371,68.65628,690.57,569.66,112.06,689.66,30.77,59.7,5.52,977.4,1.86,343.18,2.6933
13.484,72.60316,466.8,423.12,57.46,498.63,20.07,73.5,5.32,859.38,3.58,1441.17,2.0261
23.10354,84.21427,541.4,331.27,190.5,544.71,21.62,84.21,45.29,859.08,2.53,1382.9,2.1223
8.04073,69.79504,460.91,307.35,133.31,532.33,22.34,59.85,23.93,939.02,0.52,670.54,2.1413
21.48941,76.81672,348.98,279.7,70.16,377.85,29.82,64.22,19.82,1011.18,2.93,36.83,1.5303
27.81387,81.32488,644.54,526.16,127.32,649.03,24.76,68.13,16.3,853.67,3.38,1464.6,2.5325
18.713,81.40335,523.17,446.42,96.65,502.61,26.34,59.44,29.96,954.01,2.33,519.97,2.045
21.09548,86.24286,526.07,405.71,117.87,513.27,24.87,88.96,37.46,820.0,1.65,1774.49,1.8981
12.60571,82.06195,271.49,190.48,101.63,297.46,21.36,74.91,55.15,938.39,3.22,634.24,1.1477
15.63597,68.49157,638.29,559.17,134.86,670.94,27.25,49.81,26.73,925.85,1.65,720.35,2.6495
8.85706,69.01988,427.76,306.91,91.16,464.88,35.38,52.55,15.26,952.11,2.07,577.61,1.8078
23.82123,72.77003,163.68,113.17,44.36,167.63,24.2,75.54,46.12,906.06,1.85,950.16,0.6389
9.23702,85.44871,655.86,429.53,181.11,651.49,29.58,67.65,36.21,1005.79,3.54,66.5,2.5409
12.61904,77.50031,569.59,521.13,77.58,619.16,16.69,60.4,13.21,837.35,3.56,1558.88,2.5623
22.48873,84.98649,747.71,542.45,191.59,770.48,21.86,70.82,29.03,866.66,2.99,1338.58,3.119
13.42255,74.65228,618.2,404.94,181.72,538.28,11.14,78.47,45.34,931.34,1.83,740.79,2.23
11.58195,71.3277,909.33,662.47,274.62,876.41,14.92,80.45,31.99,851.86,3.18,1493.23,3.4738
21.62613,77.59905,511.56,363.25,98.07,504.2,22.15,64.28,4.97,895.99,2.86,1044.15,2.0009
23.97943,76.46607,332.13,273.78,45.39,300.18,21.06,66.15,25.79,835.2,3.01,1587.02,1.1931
17.73021,79.26498,452.88,403.27,129.22,499.29,26.56,65.26,17.05,978.49,1.33,329.85,1.9532
13.29551,76.23975,482.61,213.44,192.5,486.58,27.81,75.51,29.4,853.58,3.03,1414.02,1.8853
20.14517,87.57345,95.16,48.86,12.13,102.08,24.52,59.59,22.08,926.73,4.71,762.07,0.3963
23.29417,69.88548,327.46,287.87,64.95,347.79,25.45,66.3,20.12,935.89,2.0,716.72,1.3475
17.5664,78.48273,581.5,400.99,158.21,642.78,22.24,77.64,50.57,849.79,2.1,1522.76,2.4694
19.26603,82.28395,249.75,183.04,58.35,275.14,25.86,72.19,24.02,896.53,3.42,1040.8,1.0184
22.41076,85.19866,616.83,449.41,177.17,505.22,22.21,75.44,43.31,886.69,5.39,1146.9,1.9659
8.00969,79.45778,451.0,425.06,62.09,488.95,21.98,55.41,6.68,844.03,3.08,1552.51,2.02
11.93593,85.60135,508.41,364.04,138.75,563.76,28.59,58.2,38.66,997.94,4.15,112.44,2.2341
12.38743,69.4414,278.53,186.05,83.03,304.07,26.14,76.89,35.31,927.82,3.72,737.96,1.1696
15.95198,87.06258,305.07,339.66,47.84,296.21,27.8,76.62,12.49,991.45,2.17,207.54,1.1716
20.47339,82.12807,875.78,735.54,140.13,958.83,20.43,82.28,21.21,940.78,1.59,615.95,3.7951
14.82808,81.81111,417.57,287.49,119.43,389.63,27.89,61.65,33.85,879.54,2.36,1232.74,1.5519
27.19258,83.14542,556.28,375.35,148.34,588.3,23.15,71.95,41.22,911.25,5.17,887.73,2.3066
21.61423,77.34156,636.69,492.02,106.69,596.65,33.32,71.62,12.55,970.0,3.79,397.31,2.2867
13.29991,82.59342,489.47,368.23,107.43,557.52,23.8,75.33,31.65,884.99,1.32,1248.91,2.1624
19.33909,72.7708,934.36,783.33,143.26,869.28,22.79,75.57,12.58,841.23,2.1,1555.03,3.4554
22.19604,80.93643,628.69,438.7,210.05,652.41,16.1,75.35,33.22,823.55,5.08,1742.45,2.6448
17.55961,82.55123,528.22,453.35,99.54,508.0,19.3,66.17,8.01,824.17,3.49,1710.89,2.0544
